episode_id,episode_title,dm_name,transcript_url
1x01,Arrival at Kraghammer,MATT,https://criticalrole.fandom.com/wiki/Arrival_at_Kraghammer/Transcript
1x02,Into the Greyspine Mines,MATT,https://criticalrole.fandom.com/wiki/Into_the_Greyspine_Mines/Transcript
1x03,Strange Bedfellows,MATT,https://criticalrole.fandom.com/wiki/Strange_Bedfellows/Transcript
1x04,Attack on the Duergar Warcamp,MATT,https://criticalrole.fandom.com/wiki/Attack_on_the_Duergar_Warcamp/Transcript
1x05,The Trick about Falling,MATT,https://criticalrole.fandom.com/wiki/The_Trick_about_Falling/Transcript
1x06,Breaching the Emberhold,MATT,https://criticalrole.fandom.com/wiki/Breaching_the_Emberhold/Transcript
1x07,The Throne Room,MATT,https://criticalrole.fandom.com/wiki/The_Throne_Room/Transcript
1x08,Glass and Bone,MATT,https://criticalrole.fandom.com/wiki/Glass_and_Bone/Transcript
1x09,Yug'Voril Uncovered,MATT,https://criticalrole.fandom.com/wiki/Yug%27Voril_Uncovered/Transcript
1x10,K'Varn Revealed,MATT,https://criticalrole.fandom.com/wiki/K%27Varn_Revealed/Transcript
1x11,The Temple Showdown,MATT,https://criticalrole.fandom.com/wiki/The_Temple_Showdown/Transcript
1x12,Dungeons & Dragons Campaign Tips,MATT,https://criticalrole.fandom.com/wiki/Dungeons_%26_Dragons_Campaign_Tips/Transcript
1x13,Escape from the Underdark,MATT,https://criticalrole.fandom.com/wiki/Escape_from_the_Underdark/Transcript
1x14,Shopping and Shipping,MATT,https://criticalrole.fandom.com/wiki/Shopping_and_Shipping/Transcript
1x15,Skyward,MATT,https://criticalrole.fandom.com/wiki/Skyward/Transcript
1x16,Enter Vasselheim,MATT,https://criticalrole.fandom.com/wiki/Enter_Vasselheim/Transcript
1x17,Hubris,MATT,https://criticalrole.fandom.com/wiki/Hubris/Transcript
1x18,Trial of the Take: Part 1,MATT,https://criticalrole.fandom.com/wiki/Trial_of_the_Take:_Part_1/Transcript
1x19,Trial of the Take: Part 2,MATT,https://criticalrole.fandom.com/wiki/Trial_of_the_Take:_Part_2/Transcript
1x20,Trial of the Take: Part 3,MATT,https://criticalrole.fandom.com/wiki/Trial_of_the_Take:_Part_3/Transcript
1x21,Trial of the Take: Part 4,MATT,https://criticalrole.fandom.com/wiki/Trial_of_the_Take:_Part_4/Transcript
1x22,Aramente to Pyrah,MATT,https://criticalrole.fandom.com/wiki/Aramente_to_Pyrah/Transcript
1x23,The Rematch,MATT,https://criticalrole.fandom.com/wiki/The_Rematch/Transcript
